Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
THIRD-300033,P,Coventry,Member,Male,Health & Wellness,19.18,2,1.84,40.66,13/07/2025,12:37:19,Cash,38.72,0.24,9.38,4.6
THIRD-300034,N,Leicester,Normal,Female,Frozen Foods,7.11,1,0.34,7.54,06/01/2025,15:56:00,Credit Card,7.18,0.1,0.72,4.9
THIRD-300035,M,Nottingham,Normal,Male,Health & Wellness,36.19,1,1.74,38.37,09/04/2025,18:39:25,Cash,36.54,0.24,8.85,7.0
THIRD-300036,M,Nottingham,Normal,Male,Bakery,9.32,7,3.14,69.15,30/06/2025,14:03:37,Mobile Wallet,65.86,0.11,7.31,7.3
THIRD-300037,P,Coventry,Member,Male,Beverages,10.81,1,0.52,11.46,11/08/2025,18:51:49,Credit Card,10.91,0.13,1.43,6.5
THIRD-300038,P,Coventry,Normal,Male,Health & Wellness,4.01,1,0.19,4.25,01/01/2025,19:50:07,Credit Card,4.05,0.24,0.99,8.6
THIRD-300039,M,Nottingham,Member,Female,Personal Care,24.88,1,1.2,26.38,19/09/2025,08:02:55,Debit Card,25.12,0.21,5.32,8.3
THIRD-300040,N,Leicester,Member,Female,Personal Care,2.38,4,0.46,10.1,12/02/2025,12:38:15,Mobile Wallet,9.62,0.21,2.04,5.1
THIRD-300041,N,Leicester,Normal,Female,Beverages,7.12,1,0.34,7.55,02/10/2025,15:08:00,Debit Card,7.19,0.13,0.94,5.2
THIRD-300042,N,Leicester,Normal,Female,Frozen Foods,7.29,3,1.05,23.18,07/10/2025,14:19:52,Debit Card,22.08,0.1,2.23,7.8
THIRD-300043,P,Coventry,Member,Male,Personal Care,11.03,3,1.59,35.09,15/01/2025,18:42:42,Mobile Wallet,33.42,0.21,7.08,5.4
THIRD-300044,N,Leicester,Normal,Male,Beverages,12.43,7,4.18,92.22,30/08/2025,17:42:26,Debit Card,87.83,0.13,11.52,8.6
THIRD-300045,M,Nottingham,Member,Male,Frozen Foods,14.44,5,3.47,76.51,01/08/2025,10:14:20,Debit Card,72.87,0.1,7.36,8.1
THIRD-300046,N,Leicester,Normal,Female,Snacks,4.1,7,1.38,30.41,24/11/2025,16:46:30,Mobile Wallet,28.96,0.17,4.97,7.5
THIRD-300047,P,Coventry,Member,Female,Frozen Foods,9.74,9,4.22,92.98,03/08/2025,11:11:27,Debit Card,88.55,0.1,8.94,7.6
THIRD-300048,M,Nottingham,Normal,Female,Bakery,8.42,6,2.43,53.58,10/07/2025,15:32:29,Credit Card,51.03,0.11,5.67,6.3
THIRD-300049,P,Coventry,Normal,Female,Fresh Produce,4.97,8,1.91,42.16,10/02/2025,10:05:45,Debit Card,40.15,0.08,3.24,5.8
THIRD-300050,P,Coventry,Member,Female,Household,14.13,3,2.04,44.95,23/09/2025,13:39:27,Mobile Wallet,42.81,0.19,8.22,4.0
THIRD-300051,N,Leicester,Member,Male,Beverages,6.14,4,1.18,26.02,16/03/2025,18:41:23,Mobile Wallet,24.78,0.13,3.25,6.0
THIRD-300052,P,Coventry,Member,Male,Frozen Foods,19.06,3,2.75,60.63,19/07/2025,15:51:25,Credit Card,57.74,0.1,5.83,7.3
THIRD-300053,N,Leicester,Normal,Female,Beverages,13.96,4,2.68,59.18,01/10/2025,14:21:39,Debit Card,56.36,0.13,7.4,5.6
THIRD-300054,N,Leicester,Member,Female,Dairy & Eggs,6.81,1,0.33,7.22,19/11/2025,09:41:19,Debit Card,6.88,0.07,0.49,8.1
THIRD-300055,M,Nottingham,Normal,Male,Health & Wellness,18.02,9,7.8,171.96,10/08/2025,08:43:37,Credit Card,163.77,0.24,39.68,6.4
THIRD-300056,M,Nottingham,Normal,Female,Snacks,1.49,3,0.21,4.73,21/08/2025,19:07:04,Mobile Wallet,4.5,0.17,0.77,8.9
THIRD-300057,P,Coventry,Member,Female,Frozen Foods,14.1,2,1.36,29.9,28/06/2025,14:21:44,Mobile Wallet,28.48,0.1,2.87,6.8
THIRD-300058,N,Leicester,Normal,Male,Fresh Produce,9.64,6,2.78,61.32,05/06/2025,18:58:55,Credit Card,58.4,0.08,4.72,6.6
THIRD-300059,N,Leicester,Member,Female,Baby Products,28.77,6,8.3,182.97,23/03/2025,20:28:24,Mobile Wallet,174.26,0.18,31.66,6.0
THIRD-300060,P,Coventry,Member,Male,Bakery,3.58,1,0.17,3.79,22/09/2025,17:15:37,Debit Card,3.61,0.11,0.4,6.6
THIRD-300061,P,Coventry,Member,Female,Personal Care,9.65,6,2.78,61.38,25/06/2025,10:34:01,Debit Card,58.46,0.21,12.39,6.7
THIRD-300062,P,Coventry,Member,Female,Dairy & Eggs,8.29,9,3.59,79.09,07/10/2025,14:57:22,Mobile Wallet,75.32,0.07,5.32,7.9
THIRD-300063,P,Coventry,Normal,Male,Beverages,7.28,3,1.05,23.15,26/04/2025,15:14:48,Mobile Wallet,22.05,0.13,2.89,7.3
THIRD-300064,P,Coventry,Normal,Male,Baby Products,44.03,9,19.05,420.12,17/02/2025,17:47:40,Debit Card,400.11,0.18,72.71,7.3
THIRD-300065,N,Leicester,Member,Female,Health & Wellness,38.07,1,1.83,40.36,15/04/2025,13:24:33,Credit Card,38.44,0.24,9.32,5.8
THIRD-300066,N,Leicester,Member,Male,Personal Care,15.46,1,0.74,16.39,23/07/2025,16:18:11,Mobile Wallet,15.61,0.21,3.31,6.0
THIRD-300067,M,Nottingham,Member,Female,Baby Products,33.7,6,9.72,214.33,11/04/2025,15:49:15,Credit Card,204.12,0.18,37.09,8.4
THIRD-300068,P,Coventry,Normal,Female,Fresh Produce,10.77,4,2.07,45.69,09/01/2025,12:53:49,Mobile Wallet,43.51,0.08,3.52,6.7
THIRD-300069,M,Nottingham,Member,Male,Beverages,11.47,1,0.55,12.16,17/10/2025,11:32:31,Mobile Wallet,11.58,0.13,1.52,5.8
THIRD-300070,M,Nottingham,Member,Female,Personal Care,8.75,10,4.21,92.73,04/11/2025,14:29:25,Mobile Wallet,88.3,0.21,18.72,7.2
THIRD-300071,N,Leicester,Member,Female,Snacks,2.18,5,0.53,11.58,24/06/2025,19:20:17,Mobile Wallet,11.02,0.17,1.9,6.7
THIRD-300072,P,Coventry,Member,Female,Personal Care,26.12,6,7.54,166.17,01/10/2025,19:51:54,Mobile Wallet,158.26,0.21,33.55,7.8
THIRD-300073,M,Nottingham,Normal,Male,Baby Products,33.31,7,11.21,247.19,10/09/2025,15:12:19,Cash,235.42,0.18,42.78,7.1
THIRD-300074,P,Coventry,Member,Male,Dairy & Eggs,7.54,8,2.9,63.94,15/01/2025,16:29:42,Debit Card,60.9,0.07,4.3,7.9
THIRD-300075,N,Leicester,Member,Male,Baby Products,5.98,7,2.01,44.37,24/06/2025,20:20:42,Debit Card,42.26,0.18,7.68,8.2
THIRD-300076,N,Leicester,Member,Female,Dairy & Eggs,4.22,2,0.41,8.96,14/09/2025,10:22:40,Credit Card,8.53,0.07,0.6,7.4
THIRD-300077,M,Nottingham,Member,Female,Dairy & Eggs,2.94,7,0.99,21.84,04/11/2025,21:57:22,Mobile Wallet,20.8,0.07,1.47,7.1
THIRD-300078,P,Coventry,Member,Male,Baby Products,15.91,1,0.77,16.87,25/06/2025,15:16:58,Mobile Wallet,16.07,0.18,2.92,6.8
THIRD-300079,P,Coventry,Normal,Female,Dairy & Eggs,5.9,5,1.42,31.26,20/12/2025,13:41:03,Debit Card,29.77,0.07,2.1,6.2
THIRD-300080,M,Nottingham,Normal,Male,Household,18.57,2,1.79,39.39,24/08/2025,20:30:04,Cash,37.51,0.19,7.2,6.4
THIRD-300081,N,Leicester,Member,Male,Frozen Foods,9.46,2,0.91,20.07,11/06/2025,20:15:08,Credit Card,19.11,0.1,1.93,6.9
THIRD-300082,N,Leicester,Normal,Female,Health & Wellness,38.15,8,14.67,323.52,18/08/2025,12:05:36,Credit Card,308.11,0.24,74.66,6.2
THIRD-300083,N,Leicester,Normal,Female,Baby Products,13.16,5,3.16,69.73,03/04/2025,20:01:37,Debit Card,66.41,0.18,12.06,8.7
THIRD-300084,N,Leicester,Normal,Female,Health & Wellness,7.51,1,0.36,7.96,01/08/2025,15:15:45,Mobile Wallet,7.58,0.24,1.83,7.9
THIRD-300085,N,Leicester,Member,Male,Fresh Produce,7.86,2,0.76,16.67,31/03/2025,13:27:40,Credit Card,15.88,0.08,1.28,6.1
THIRD-300086,P,Coventry,Member,Male,Frozen Foods,19.41,10,9.33,205.73,08/07/2025,10:27:56,Credit Card,195.93,0.1,19.78,6.8
THIRD-300087,M,Nottingham,Member,Male,Dairy & Eggs,4.41,7,1.48,32.72,04/03/2025,10:58:08,Debit Card,31.16,0.07,2.2,5.1
THIRD-300088,N,Leicester,Normal,Male,Personal Care,23.68,3,3.42,75.32,29/01/2025,08:19:58,Debit Card,71.73,0.21,15.21,6.6
THIRD-300089,N,Leicester,Normal,Female,Household,17.33,6,5.0,110.21,28/10/2025,12:42:53,Debit Card,104.96,0.19,20.13,6.1
THIRD-300090,N,Leicester,Normal,Male,Dairy & Eggs,3.99,5,0.96,21.17,25/02/2025,12:06:14,Debit Card,20.16,0.07,1.42,6.8
THIRD-300091,N,Leicester,Member,Male,Frozen Foods,12.28,7,4.13,91.14,05/05/2025,21:16:16,Credit Card,86.8,0.1,8.77,7.7
THIRD-300092,P,Coventry,Member,Male,Baby Products,34.3,2,3.3,72.72,17/05/2025,16:31:51,Credit Card,69.26,0.18,12.58,7.1
THIRD-300093,N,Leicester,Member,Male,Beverages,11.07,6,3.19,70.38,08/05/2025,16:41:33,Debit Card,67.03,0.13,8.8,5.7
THIRD-300094,P,Coventry,Normal,Male,Beverages,13.31,2,1.28,28.22,14/09/2025,15:16:42,Credit Card,26.88,0.13,3.53,5.6
THIRD-300095,P,Coventry,Normal,Male,Health & Wellness,8.66,8,3.33,73.47,22/06/2025,18:38:02,Debit Card,69.97,0.24,16.95,4.9
THIRD-300096,M,Nottingham,Normal,Female,Frozen Foods,13.1,6,3.78,83.35,05/03/2025,15:08:17,Credit Card,79.38,0.1,8.01,6.5
THIRD-300097,M,Nottingham,Member,Male,Dairy & Eggs,3.37,2,0.32,7.14,05/12/2025,18:21:19,Mobile Wallet,6.8,0.07,0.48,6.3
THIRD-300098,N,Leicester,Member,Female,Dairy & Eggs,6.55,9,2.84,62.52,02/09/2025,11:45:22,Debit Card,59.54,0.07,4.21,7.5
THIRD-300099,P,Coventry,Normal,Female,Bakery,10.51,1,0.51,11.15,29/08/2025,10:49:38,Mobile Wallet,10.62,0.11,1.18,6.5
THIRD-300100,P,Coventry,Normal,Female,Dairy & Eggs,4.16,4,0.8,17.64,16/06/2025,16:20:57,Mobile Wallet,16.8,0.07,1.19,7.2
THIRD-300101,N,Leicester,Normal,Female,Baby Products,45.32,5,10.9,240.24,03/11/2025,21:18:59,Credit Card,228.8,0.18,41.57,7.3
THIRD-300102,M,Nottingham,Normal,Male,Household,10.29,10,4.95,109.04,16/09/2025,18:28:27,Credit Card,103.85,0.19,19.92,4.3
THIRD-300103,P,Coventry,Member,Male,Bakery,2.56,2,0.25,5.43,28/12/2025,21:08:17,Mobile Wallet,5.17,0.11,0.57,8.2
THIRD-300104,P,Coventry,Normal,Female,Baby Products,47.32,1,2.27,50.16,14/06/2025,11:20:04,Mobile Wallet,47.78,0.18,8.68,4.5
THIRD-300105,P,Coventry,Normal,Male,Snacks,2.07,2,0.2,4.39,27/04/2025,15:06:50,Mobile Wallet,4.18,0.17,0.72,6.7
THIRD-300106,P,Coventry,Member,Female,Fresh Produce,5.45,9,2.36,52.0,10/05/2025,12:38:24,Mobile Wallet,49.52,0.08,4.0,6.6
THIRD-300107,N,Leicester,Member,Female,Fresh Produce,3.56,9,1.54,33.94,02/08/2025,15:10:19,Credit Card,32.32,0.08,2.61,5.4
THIRD-300108,N,Leicester,Normal,Male,Dairy & Eggs,5.14,9,2.22,49.01,23/01/2025,21:47:50,Debit Card,46.68,0.07,3.3,7.7
THIRD-300109,P,Coventry,Member,Female,Frozen Foods,12.81,1,0.62,13.59,12/09/2025,15:07:45,Debit Card,12.94,0.1,1.3,8.2
THIRD-300110,P,Coventry,Member,Female,Bakery,9.86,3,1.42,31.35,12/04/2025,14:40:08,Credit Card,29.86,0.11,3.32,5.3
THIRD-300111,M,Nottingham,Normal,Male,Baby Products,26.97,7,9.08,200.12,26/09/2025,14:58:55,Mobile Wallet,190.59,0.18,34.63,8.3
THIRD-300112,M,Nottingham,Normal,Female,Health & Wellness,25.1,3,3.62,79.81,05/06/2025,12:20:45,Credit Card,76.01,0.24,18.41,7.0
THIRD-300113,N,Leicester,Normal,Male,Beverages,3.86,2,0.37,8.18,25/04/2025,20:22:02,Credit Card,7.79,0.13,1.02,6.6
THIRD-300114,N,Leicester,Normal,Female,Frozen Foods,11.74,9,5.08,112.02,22/02/2025,17:22:22,Credit Card,106.69,0.1,10.77,7.3
THIRD-300115,N,Leicester,Normal,Male,Frozen Foods,17.09,1,0.82,18.11,10/04/2025,13:01:07,Credit Card,17.25,0.1,1.74,6.1
THIRD-300116,P,Coventry,Normal,Female,Fresh Produce,6.25,2,0.6,13.25,22/11/2025,12:33:57,Credit Card,12.62,0.08,1.02,6.8
THIRD-300117,N,Leicester,Member,Male,Health & Wellness,4.76,3,0.69,15.15,18/08/2025,15:01:51,Mobile Wallet,14.43,0.24,3.5,7.4
THIRD-300118,M,Nottingham,Normal,Female,Beverages,14.8,2,1.42,31.37,19/10/2025,15:11:05,Debit Card,29.88,0.13,3.92,7.2
THIRD-300119,N,Leicester,Normal,Male,Frozen Foods,3.57,9,1.54,34.03,22/09/2025,21:32:48,Debit Card,32.41,0.1,3.28,4.0
THIRD-300120,N,Leicester,Member,Female,Personal Care,4.32,4,0.83,18.3,10/09/2025,19:11:50,Credit Card,17.43,0.21,3.7,5.9
THIRD-300121,M,Nottingham,Member,Female,Snacks,2.95,5,0.71,15.66,19/04/2025,12:14:48,Debit Card,14.91,0.17,2.55,4.0
THIRD-300122,M,Nottingham,Normal,Female,Beverages,8.18,2,0.79,17.36,06/05/2025,18:02:10,Credit Card,16.53,0.13,2.17,5.8
THIRD-300123,M,Nottingham,Member,Female,Fresh Produce,8.17,3,1.18,26.0,26/07/2025,21:38:48,Debit Card,24.76,0.08,2.0,6.9
THIRD-300124,M,Nottingham,Member,Female,Fresh Produce,1.92,5,0.46,10.2,31/07/2025,16:27:44,Credit Card,9.71,0.08,0.78,5.8
THIRD-300125,P,Coventry,Member,Male,Fresh Produce,10.16,5,2.44,53.85,08/10/2025,16:25:43,Debit Card,51.29,0.08,4.14,8.2
THIRD-300126,M,Nottingham,Member,Female,Household,10.29,4,1.98,43.62,07/05/2025,11:57:17,Debit Card,41.54,0.19,7.97,5.8
THIRD-300127,P,Coventry,Normal,Male,Bakery,2.46,3,0.36,7.84,24/12/2025,12:50:17,Credit Card,7.47,0.11,0.83,5.7
THIRD-300128,N,Leicester,Normal,Female,Dairy & Eggs,4.01,4,0.77,17.02,05/06/2025,13:23:48,Mobile Wallet,16.21,0.07,1.14,5.2
THIRD-300129,M,Nottingham,Member,Male,Baby Products,31.76,6,9.16,202.02,10/12/2025,20:34:51,Cash,192.4,0.18,34.96,6.4
THIRD-300130,P,Coventry,Member,Male,Beverages,9.78,2,0.94,20.73,19/04/2025,14:58:58,Credit Card,19.74,0.13,2.59,7.9
THIRD-300131,P,Coventry,Member,Female,Beverages,14.29,7,4.81,106.04,05/07/2025,12:02:11,Credit Card,100.99,0.13,13.25,7.8
THIRD-300132,M,Nottingham,Member,Male,Frozen Foods,10.05,10,4.83,106.5,26/04/2025,17:22:59,Debit Card,101.43,0.1,10.24,8.1
THIRD-300133,N,Leicester,Member,Female,Frozen Foods,8.73,6,2.52,55.5,19/09/2025,14:12:01,Credit Card,52.86,0.1,5.33,7.2
THIRD-300134,P,Coventry,Normal,Male,Bakery,3.92,13,2.45,54.03,20/07/2025,11:52:15,Mobile Wallet,51.46,0.11,5.71,6.2
THIRD-300135,P,Coventry,Normal,Female,Household,8.93,11,4.72,104.17,19/07/2025,16:26:48,Debit Card,99.21,0.19,19.03,6.7
THIRD-300136,M,Nottingham,Member,Male,Household,13.96,1,0.67,14.79,22/01/2025,17:08:01,Cash,14.09,0.19,2.7,4.9
THIRD-300137,N,Leicester,Member,Female,Snacks,5.2,2,0.5,11.02,01/09/2025,19:54:50,Credit Card,10.5,0.17,1.8,6.8
THIRD-300138,P,Coventry,Normal,Female,Health & Wellness,25.39,7,8.54,188.38,06/03/2025,20:18:42,Mobile Wallet,179.41,0.24,43.47,7.1
THIRD-300139,M,Nottingham,Normal,Male,Frozen Foods,10.67,7,3.59,79.18,30/06/2025,18:49:24,Cash,75.41,0.1,7.61,6.9
THIRD-300140,P,Coventry,Member,Female,Household,21.17,7,7.13,157.13,16/08/2025,13:38:41,Credit Card,149.65,0.19,28.7,6.8
THIRD-300141,P,Coventry,Member,Male,Baby Products,41.7,9,18.04,397.89,28/05/2025,15:47:12,Cash,378.94,0.18,68.86,8.3
THIRD-300142,N,Leicester,Member,Female,Health & Wellness,4.31,8,1.66,36.52,19/07/2025,19:26:30,Cash,34.78,0.24,8.43,6.4
THIRD-300143,M,Nottingham,Normal,Female,Bakery,4.07,2,0.39,8.62,18/09/2025,15:46:01,Debit Card,8.21,0.11,0.91,6.7
THIRD-300144,M,Nottingham,Member,Male,Household,4.02,2,0.39,8.54,12/02/2025,14:30:31,Cash,8.13,0.19,1.56,6.3
THIRD-300145,P,Coventry,Member,Female,Household,24.94,2,2.4,52.88,16/07/2025,15:45:05,Debit Card,50.36,0.19,9.66,7.2
THIRD-300146,M,Nottingham,Member,Male,Dairy & Eggs,3.41,3,0.49,10.85,06/03/2025,14:51:11,Mobile Wallet,10.33,0.07,0.73,9.1
THIRD-300147,N,Leicester,Member,Female,Bakery,1.45,11,0.76,16.85,03/01/2025,17:53:20,Cash,16.05,0.11,1.78,6.0
THIRD-300148,M,Nottingham,Normal,Female,Bakery,7.62,4,1.47,32.33,19/06/2025,11:51:16,Credit Card,30.79,0.11,3.42,6.3
THIRD-300149,M,Nottingham,Normal,Female,Bakery,3.89,9,1.68,37.11,16/03/2025,08:52:21,Mobile Wallet,35.34,0.11,3.92,6.3
THIRD-300150,M,Nottingham,Member,Male,Fresh Produce,1.84,1,0.09,1.95,09/08/2025,17:53:38,Cash,1.86,0.08,0.15,7.0
THIRD-300151,M,Nottingham,Member,Male,Household,15.16,10,7.29,160.74,31/01/2025,16:10:36,Mobile Wallet,153.09,0.19,29.36,5.6
THIRD-300152,M,Nottingham,Normal,Female,Dairy & Eggs,5.37,2,0.52,11.38,28/02/2025,17:17:39,Debit Card,10.84,0.07,0.76,6.4
THIRD-300153,N,Leicester,Normal,Female,Bakery,8.29,7,2.79,61.51,10/03/2025,15:10:24,Credit Card,58.58,0.11,6.51,5.9
THIRD-300154,P,Coventry,Member,Female,Beverages,13.31,4,2.56,56.45,03/07/2025,15:05:04,Credit Card,53.76,0.13,7.06,9.1
THIRD-300155,N,Leicester,Member,Female,Snacks,5.76,2,0.55,12.21,03/05/2025,16:08:14,Debit Card,11.63,0.17,1.99,6.7
THIRD-300156,M,Nottingham,Normal,Male,Health & Wellness,13.1,2,1.26,27.78,24/06/2025,18:05:48,Cash,26.46,0.24,6.41,8.3
THIRD-300157,P,Coventry,Member,Female,Household,20.13,12,11.62,256.14,15/02/2025,18:42:02,Debit Card,243.94,0.19,46.79,7.2
THIRD-300158,P,Coventry,Normal,Female,Beverages,2.51,3,0.36,7.97,30/05/2025,19:05:06,Debit Card,7.59,0.13,1.0,5.8
THIRD-300159,N,Leicester,Member,Male,Bakery,8.77,9,3.79,83.64,26/06/2025,10:29:02,Mobile Wallet,79.66,0.11,8.85,8.1
THIRD-300160,M,Nottingham,Member,Female,Frozen Foods,5.88,3,0.85,18.69,30/01/2025,12:11:14,Debit Card,17.8,0.1,1.8,5.9
THIRD-300161,P,Coventry,Member,Female,Health & Wellness,32.98,11,17.44,384.56,26/02/2025,15:28:16,Credit Card,366.25,0.24,88.73,7.5
THIRD-300162,M,Nottingham,Member,Male,Dairy & Eggs,6.69,8,2.57,56.71,01/05/2025,11:08:28,Debit Card,54.01,0.07,3.82,6.8
THIRD-300163,M,Nottingham,Normal,Female,Health & Wellness,36.54,10,17.57,387.31,06/11/2025,11:15:24,Credit Card,368.86,0.24,89.37,7.2
THIRD-300164,P,Coventry,Normal,Male,Bakery,9.12,6,2.63,58.01,04/08/2025,17:08:26,Mobile Wallet,55.25,0.11,6.14,7.4
THIRD-300165,P,Coventry,Normal,Male,Baby Products,30.82,9,13.33,294.0,09/07/2025,10:51:41,Debit Card,280.0,0.18,50.88,7.4
THIRD-300166,P,Coventry,Normal,Female,Dairy & Eggs,7.54,10,3.62,79.93,02/08/2025,13:43:46,Credit Card,76.12,0.07,5.38,6.3
THIRD-300167,M,Nottingham,Normal,Male,Personal Care,23.9,2,2.3,50.67,29/06/2025,12:25:38,Credit Card,48.26,0.21,10.23,6.4
THIRD-300168,N,Leicester,Member,Female,Frozen Foods,17.56,1,0.84,18.61,29/06/2025,19:28:23,Cash,17.72,0.1,1.79,6.5
THIRD-300169,P,Coventry,Member,Female,Beverages,12.3,2,1.18,26.08,28/11/2025,12:42:07,Cash,24.84,0.13,3.26,5.2
THIRD-300170,N,Leicester,Normal,Female,Baby Products,9.81,9,4.24,93.57,13/07/2025,20:30:13,Debit Card,89.11,0.18,16.2,8.5
THIRD-300171,P,Coventry,Member,Female,Snacks,3.52,11,1.86,40.99,09/11/2025,21:49:38,Credit Card,39.04,0.17,6.7,4.8
THIRD-300172,N,Leicester,Member,Male,Health & Wellness,28.08,7,9.45,208.37,23/02/2025,13:03:39,Credit Card,198.45,0.24,48.08,6.6
THIRD-300173,P,Coventry,Member,Female,Beverages,15.39,1,0.74,16.32,24/07/2025,14:17:14,Mobile Wallet,15.54,0.13,2.04,9.1
THIRD-300174,P,Coventry,Member,Female,Beverages,12.93,1,0.62,13.7,09/04/2025,14:27:04,Cash,13.05,0.13,1.72,7.6
THIRD-300175,M,Nottingham,Normal,Male,Household,6.73,4,1.29,28.53,07/08/2025,15:29:19,Mobile Wallet,27.17,0.19,5.22,8.0
THIRD-300176,N,Leicester,Normal,Male,Frozen Foods,2.65,8,1.02,22.49,01/12/2025,15:34:47,Mobile Wallet,21.42,0.1,2.16,7.3
